"","V1"
"1",0.0244923714080374
"2",0.0108887318055498
"3",0.0117311539213387
"4",0.0590363107975818
"5",0.111030373003755
"6",0.00642952126132333
"7",0.00344862789925849
"8",0.00234489118561427
"9",0.0213113231186932
"10",0.016314781061735
"11",0.00455226114425807
"12",0.00254188953132478
"13",0.00160325992851772
"14",0.291320279831707
"15",0.0169203656530878
