"","V1"
"",-0.0156763004092654
"",0.471719428142387
"",0.317786715095944
"",0.433344796301753
"",0.3708536833994
"(Intercept)",0.787882892431078
"q.res",-0.00264407297556479
"lstations",0.457413662246791
"lstaff",0.688470765534214
"(Intercept)",0.785902255458951
"lstations",0.460354968819132
"lstaff",0.686510496919043
"q.res",-0.00194642258687533
"lstations",0.552964291453375
"lstaff",0.198193738907308
"lstations",0.556808656871066
"lstaff",0.197432138593014
"",0.44880221597825
"",0.309461566919455
"",0.462092591081014
"",0.311040723465855
